Date / Time,Mode,Category,Sub category,Income/Expense,Debit/Credit
"Monday, November 29, 2021",CUB - online payment,Food,Lunch with company,Expense,40
"Monday, November 29, 2021",CUB - online payment,Food,Dinner,Expense,50
"Monday, November 29, 2021",CUB - online payment,Transportation,Rapido to pg,Expense,44
"Tuesday, November 30, 2021",CUB - online payment,Food,Breakfast,Expense,70
"Tuesday, November 30, 2021",CUB - online payment,Food,Lunch with company,Expense,128
"Tuesday, November 30, 2021",CUB - online payment,apparel,Bharath birthday,Expense,115
"Wednesday, December 1, 2021",CUB - online payment,Food,Pizza,Expense,301.75
"Wednesday, December 1, 2021",CUB - online payment,Other,From kumara,Income,200
"Wednesday, December 1, 2021",CUB - online payment,Other,Recharge by gowdham,Expense,479
"Thursday, December 2, 2021",CUB - online payment,Other,From dad,Income,10000
"Thursday, December 2, 2021",CUB - online payment,Food,Lunch,Expense,80
"Thursday, December 2, 2021",CUB - online payment,Household,Mirror,Expense,7770
"Sunday, December 12, 2021",CUB - online payment,Food,Milk with bharath,Expense,25
"Tuesday, December 14, 2021",CUB - online payment,Food,Milk with bharath,Expense,65
"Tuesday, December 14, 2021",CUB - online payment,Food,Snacks,Expense,75
"Tuesday, December 14, 2021",CUB - online payment,Food,Lunch,Expense,400
"Thursday, December 16, 2021",CUB - online payment,Food,Lunch,Expense,30
"Thursday, December 16, 2021",CUB - online payment,Food,Panipoori,Expense,20
"Thursday, December 16, 2021",CUB - online payment,Food,Egg,Expense,300
"Friday, December 17, 2021",CUB - online payment,Food,Lunch with company,Expense,110
"Friday, December 17, 2021",CUB - online payment,Food,Milk with bharath,Expense,700
"Saturday, December 18, 2021",CUB - online payment,Food,Lunch,Expense,160
"Saturday, December 18, 2021",CUB - online payment,Other,Lended money,Income,400
"Saturday, December 18, 2021",CUB - online payment,Food,To rahul,Expense,113
"Saturday, December 18, 2021",CUB - online payment,Allowance,From dad,Income,5000
"Saturday, December 18, 2021",CUB - online payment,Other,To abijith,Expense,200
"Sunday, December 19, 2021",CUB - online payment,Other,To siva,Expense,10000
